chunk,model,rows,train_inner_size,val_size,test_size,train_inner_fraud_rate,val_fraud_rate,test_fraud_rate,val_pr_auc,test_pr_auc,threshold_from_val,val_f1_at_threshold,test_f1_at_val_threshold,best_test_threshold_diagnostic,best_test_f1_diagnostic,best_test_precision_diagnostic,best_test_recall_diagnostic,test_TN,test_FP,test_FN,test_TP,pr_auc_val_to_test_drop,f1_recoverable_by_threshold,issue_type
7,xgb_undersample,536266,52932,85803,107254,0.09090909090909091,0.00982483129960491,0.01678259085908218,0.9177326767127897,0.9304794089520193,0.8074483275413513,0.8442408376958404,0.8468914321064027,0.6916053891181946,0.8681742967452253,0.8619934282584885,0.8744444444444445,105390,64,431,1369,-0.012746732239229619,0.021282864638822563,ok
7,xgb_class_weight,536266,343209,85803,107254,0.01402061134760452,0.00982483129960491,0.01678259085908218,0.9144934180134561,0.9248112049508359,0.9766181707382202,0.8517060367449124,0.8418114143920595,0.9448053240776062,0.8602389552648515,0.8604780433574208,0.86,105387,67,443,1357,-0.010317786937379836,0.01842754087279197,ok
8,xgb_undersample,536266,45892,85803,107254,0.09090909090909091,0.014055452606552218,0.012260614988718369,0.9437993767917584,0.9299307106160836,0.8740565180778503,0.8967391304342869,0.8646325741297808,0.7317593097686768,0.8834990059637158,0.9258333333333333,0.8448669201520913,105933,6,309,1006,0.013868666175674838,0.018866431833934993,ok
8,xgb_class_weight,536266,343209,85803,107254,0.012155858383667095,0.014055452606552218,0.012260614988718369,0.9381076564470756,0.9206572105003868,0.9606438279151917,0.8964927288275587,0.8850060950832995,0.9543703198432922,0.8904818797286927,0.9347826086956522,0.850190114068441,105882,57,226,1089,0.017450445946688764,0.005475784645393222,ok
9,xgb_undersample,536266,48433,85803,107254,0.09090909090909091,0.011153456172861089,0.009146512018199788,0.7612122849316264,0.7705902776246909,0.9113184809684753,0.7359307359302528,0.7485843714609286,0.9112071990966797,0.749292586303977,0.8422391857506362,0.6748216106014271,106149,124,320,661,-0.009377992693064496,0.0007082148430483937,ok
9,xgb_class_weight,536266,343209,85803,107254,0.01282891765658826,0.011153456172861089,0.009146512018199788,0.7184209379764958,0.7273793785176349,0.9972978234291077,0.724984266834008,0.7426597582037997,0.9972477555274963,0.7435456110149984,0.8503937007874016,0.6605504587155964,106162,111,336,645,-0.008958440541139145,0.0008858528111986841,ok
10,xgb_undersample,536266,29755,85803,107254,0.09090909090909091,0.005186298847359649,0.004773714733250042,0.9684578408870393,0.9085951984542344,0.8201680183410645,0.9699074074069078,0.38977635782747605,0.8883801102638245,0.8950050968394602,0.9360341151385928,0.857421875,105238,1504,24,488,0.059862642432804924,0.5052287390119841,threshold_calibration_drift
10,xgb_class_weight,536266,343209,85803,107254,0.007881494949141777,0.005186298847359649,0.004773714733250042,0.97120650906107,0.909076505263823,0.988055408000946,0.9699074074069078,0.35,0.995970606803894,0.8957055214718936,0.9399141630901288,0.85546875,104944,1798,22,490,0.06213000379724698,0.5457055214718937,threshold_calibration_drift
11,xgb_undersample,536266,21659,85803,107254,0.09090909090909091,0.00892742677994942,0.005174632181550338,0.9701877929035525,0.8191475883257127,0.5124960541725159,0.9766199064791262,0.04063769928102532,0.9055072069168091,0.8235294117642163,0.9637681159420289,0.7189189189189189,82182,24517,35,520,0.15104020457783984,0.782891712483191,threshold_calibration_drift
11,xgb_class_weight,536266,343209,85803,107254,0.005737029040613737,0.00892742677994942,0.005174632181550338,0.9745404921722778,0.7996609990693887,0.811423122882843,0.9786666666661669,0.04136022143139581,0.9959245920181274,0.7559471365633768,0.7396551724137931,0.772972972972973,82487,24212,32,523,0.17487949310288908,0.7145869151319809,threshold_calibration_drift
12,xgb_undersample,536266,30811,85803,107254,0.09090909090909091,0.01677097537382143,0.01694109310608462,0.9782540110171509,0.9761249742665383,0.38463395833969116,0.9798087141334003,0.9763513513513513,0.4696851074695587,0.9766263024495143,1.0,0.9543203082003302,105436,1,83,1734,0.0021290367506126007,0.000274951098163001,ok
12,xgb_class_weight,536266,343209,85803,107254,0.00816120789373239,0.01677097537382143,0.01694109310608462,0.9802284701397027,0.9779503713311508,0.8250901103019714,0.9826916283993588,0.9803591470258137,0.7877711057662964,0.9803701626467239,0.9994282447112636,0.9620253164556962,105437,0,70,1747,0.0022780988085518983,1.101562091021524e-05,ok
13,xgb_undersample,536266,62854,85803,107254,0.09090909090909091,0.018484202184072818,0.016474910026665672,0.9803396739344264,0.9582152375177123,0.7134153246879578,0.9784773530351571,0.8487269096355466,0.8687538504600525,0.9171138938575812,0.9691241335853812,0.8704018109790606,104948,539,67,1700,0.022124436416714133,0.0683869842220346,ok
13,xgb_class_weight,536266,343209,85803,107254,0.01664874755615383,0.018484202184072818,0.016474910026665672,0.9816317225451426,0.973715997201159,0.8796407580375671,0.9782330345705628,0.829683698296837,0.980453372001648,0.9684947491243545,0.9993979530403372,0.9394453876627051,104849,638,62,1705,0.00791572534398366,0.13881105082751755,ok
14,xgb_undersample,536266,55363,85803,107254,0.09090909090909091,0.010232742444902859,0.013584574934268186,0.9844487464754117,0.9863720216182901,0.6774177551269531,0.9861431870664746,0.9846689895470383,0.45978155732154846,0.9860821155179412,1.0,0.9725463280713795,105797,0,44,1413,-0.0019232751428783779,0.0014131259709029287,ok
14,xgb_class_weight,536266,343209,85803,107254,0.014664533855464163,0.010232742444902859,0.013584574934268186,0.9850596565716085,0.9864839031586743,0.7983214855194092,0.9867282169643009,0.9874913134120917,0.7945706248283386,0.9878430010415286,1.0,0.9759780370624571,105797,0,36,1421,-0.0014242465870657472,0.0003516876294368254,ok
15,xgb_undersample,536266,45947,85803,107254,0.09090909090909091,0.014614873605817978,0.013146362839614373,0.9816129431502413,0.9719742378960652,0.5312889218330383,0.9771986970679041,0.969741159314619,0.5813790559768677,0.9704271631977479,1.0,0.9425531914893617,105841,3,80,1330,0.009638705254176094,0.0006860038831288939,ok
15,xgb_class_weight,536266,343209,85803,107254,0.012170426766197857,0.014614873605817978,0.013146362839614373,0.9783892235611014,0.9705429329046135,0.8161236643791199,0.9776149776144779,0.9696969696969697,0.9834147095680237,0.9700511322127948,1.0,0.9418439716312057,105843,1,82,1328,0.007846290656487898,0.00035416251582509606,ok
16,xgb_undersample,536265,49346,85803,107253,0.09090909090909091,0.005687446825868559,0.0,0.9519648020700633,0.0,0.7275636196136475,0.9609292502634919,0.0,0.007735190447419882,0.0,0.0,1.0,107252,1,0,0,0.9519648020700633,0.0,skip_no_positive_test
16,xgb_class_weight,536265,343209,85803,107253,0.013070752806598895,0.005687446825868559,0.0,0.9469803296539792,0.0,0.9393094182014465,0.9606801275234114,0.0,0.0013323258608579636,0.0,0.0,1.0,107252,1,0,0,0.9469803296539792,0.0,skip_no_positive_test
